"compiler","mode","order","structure","n","median_ns","min_ns","max_ns","sessions"
"gcc","tput","shuffled","sorted_array",2048,6.4026,6.3095,6.4438,3
"gcc","lat","blocked","btree16_bl_a64",4096,21.3165,20.9641,21.5042,3
"gcc","tput","blocked","btree16_bl_a64",4096,8.1772,8.0826,8.2108,3
"clang","lat","shuffled","btree16_bl_a64",4096,22.7188,22.7036,22.7524,3
"gcc","lat","shuffled","btree16_bl_a64",4096,21.4554,21.3501,21.4798,3
"clang","tput","shuffled","btree16_bl_a64",4096,8.2062,8.1467,8.2504,3
"gcc","tput","shuffled","btree16_bl_a64",4096,8.1833,8.11,8.3008,3
"gcc","lat","blocked","btree8",4096,33.2733,33.1406,33.9844,3
"gcc","tput","blocked","btree8",4096,33.728,33.1177,33.7646,3
"clang","lat","shuffled","btree8",4096,37.6831,37.6526,37.8601,3
"gcc","lat","shuffled","btree8",4096,33.931,33.7875,34.1187,3
"clang","tput","shuffled","btree8",4096,35.5331,35.4858,35.6018,3
"gcc","tput","shuffled","btree8",4096,34.1553,33.8455,34.5016,3
"gcc","lat","blocked","btree8_a64",4096,31.2637,30.4657,31.8253,3
"gcc","tput","blocked","btree8_a64",4096,31.9931,31.3843,32.1365,3
"clang","lat","shuffled","btree8_a64",4096,36.5005,36.3861,36.6379,3
"gcc","lat","shuffled","btree8_a64",4096,32.1472,31.8115,32.4005,3
"clang","tput","shuffled","btree8_a64",4096,33.1802,32.872,33.5022,3
"gcc","tput","shuffled","btree8_a64",4096,32.1579,31.8481,32.428,3
"gcc","lat","blocked","btree8_bl",4096,29.0771,28.5049,29.1733,3
"gcc","tput","blocked","btree8_bl",4096,14.2441,14.1083,14.2731,3
"clang","lat","shuffled","btree8_bl",4096,32.2388,32.132,32.2418,3
"gcc","lat","shuffled","btree8_bl",4096,29.3045,29.2572,29.4601,3
"clang","tput","shuffled","btree8_bl",4096,15.7227,14.9933,15.7608,3
"gcc","tput","shuffled","btree8_bl",4096,14.5508,14.2746,14.653,3
"gcc","lat","blocked","btree8_bl_a64",4096,26.4114,25.9521,26.7303,3
"gcc","tput","blocked","btree8_bl_a64",4096,12.4573,12.4084,12.5839,3
"clang","lat","shuffled","btree8_bl_a64",4096,29.4296,29.3594,29.4785,3
"gcc","lat","shuffled","btree8_bl_a64",4096,26.5564,26.5549,26.5915,3
"clang","tput","shuffled","btree8_bl_a64",4096,14.183,14.0656,14.2059,3
"gcc","tput","shuffled","btree8_bl_a64",4096,12.7319,12.4588,12.735,3
"gcc","lat","blocked","fusion16_w",4096,59.5016,58.3984,59.8358,3
"gcc","tput","blocked","fusion16_w",4096,47.4762,47.4564,48.4818,3
"clang","lat","shuffled","fusion16_w",4096,59.5322,59.4391,59.79,3
"gcc","lat","shuffled","fusion16_w",4096,59.4711,59.2941,59.6191,3
"clang","tput","shuffled","fusion16_w",4096,46.6156,46.4157,46.6827,3
"gcc","tput","shuffled","fusion16_w",4096,47.1985,46.524,47.673,3
"gcc","lat","blocked","fusion8",4096,57.077,56.2073,57.3654,3
"gcc","tput","blocked","fusion8",4096,51.7609,51.5823,51.8326,3
"clang","lat","shuffled","fusion8",4096,60.1105,59.9655,60.26,3
"gcc","lat","shuffled","fusion8",4096,58.139,57.7286,58.1863,3
"clang","tput","shuffled","fusion8",4096,56.5781,56.4529,56.7978,3
"gcc","tput","shuffled","fusion8",4096,53.125,52.8625,53.6057,3
"gcc","lat","blocked","fusion8_bf",4096,63.2477,62.3413,64.032,3
"gcc","tput","blocked","fusion8_bf",4096,55.4718,55.2841,55.8594,3
"clang","lat","shuffled","fusion8_bf",4096,62.8067,62.645,63.0127,3
"gcc","lat","shuffled","fusion8_bf",4096,64.2593,64.1479,64.3036,3
"clang","tput","shuffled","fusion8_bf",4096,56.9733,56.7337,57.3486,3
"gcc","tput","shuffled","fusion8_bf",4096,56.7459,55.5969,56.7734,3
"gcc","lat","blocked","fusion8_c",4096,60.8414,60.0693,63.0493,3
"gcc","tput","blocked","fusion8_c",4096,55.8823,55.6931,56.3019,3
"clang","lat","shuffled","fusion8_c",4096,60.2127,59.6069,60.3439,3
"gcc","lat","shuffled","fusion8_c",4096,61.1572,61.0123,61.3037,3
"clang","tput","shuffled","fusion8_c",4096,54.1183,54.0192,54.837,3
"gcc","tput","shuffled","fusion8_c",4096,55.2734,54.6143,55.9601,3
"gcc","lat","blocked","sorted_array",4096,18.6844,18.3289,18.6996,3
"gcc","tput","blocked","sorted_array",4096,7.2754,7.2723,7.2937,3
"clang","lat","shuffled","sorted_array",4096,42.6819,42.5354,42.8238,3
"gcc","lat","shuffled","sorted_array",4096,18.7149,18.6905,18.7317,3
"clang","tput","shuffled","sorted_array",4096,43.5944,43.4891,43.6478,3
"gcc","tput","shuffled","sorted_array",4096,7.2769,7.1442,7.3135,3
"gcc","lat","blocked","btree16_bl_a64",8192,31.3416,30.8975,31.987,3
"gcc","tput","blocked","btree16_bl_a64",8192,22.522,22.5006,22.6044,3
"clang","lat","shuffled","btree16_bl_a64",8192,34.9335,34.816,35.6705,3
"gcc","lat","shuffled","btree16_bl_a64",8192,32.6752,32.4814,33.5892,3
"clang","tput","shuffled","btree16_bl_a64",8192,26.5076,26.4313,26.9836,3
"gcc","tput","shuffled","btree16_bl_a64",8192,23.8113,22.8516,24.8016,3
"gcc","lat","blocked","btree8",8192,36.9751,36.1069,36.9827,3
"gcc","tput","blocked","btree8",8192,36.8546,36.4868,36.879,3
"clang","lat","shuffled","btree8",8192,41.7542,41.5634,41.8518,3
"gcc","lat","shuffled","btree8",8192,37.7899,37.4832,37.7991,3
"clang","tput","shuffled","btree8",8192,39.6805,39.4974,39.798,3
"gcc","tput","shuffled","btree8",8192,38.0066,37.0697,38.237,3
"gcc","lat","blocked","btree8_a64",8192,34.6786,34.14,34.7824,3
"gcc","tput","blocked","btree8_a64",8192,34.5657,34.5093,34.5917,3
"clang","lat","shuffled","btree8_a64",8192,40.21,40.0986,40.3793,3
"gcc","lat","shuffled","btree8_a64",8192,36.1313,35.7468,36.1694,3
"clang","tput","shuffled","btree8_a64",8192,37.7457,37.2086,37.7762,3
"gcc","tput","shuffled","btree8_a64",8192,35.6506,34.7626,35.9253,3
"gcc","lat","blocked","btree8_bl",8192,33.4198,32.9132,33.5403,3
"gcc","tput","blocked","btree8_bl",8192,21.6873,21.5622,21.8384,3
"clang","lat","shuffled","btree8_bl",8192,38.0508,37.8281,38.2019,3
"gcc","lat","shuffled","btree8_bl",8192,34.4025,34.2773,34.7519,3
"clang","tput","shuffled","btree8_bl",8192,24.0982,23.7823,24.2645,3
"gcc","tput","shuffled","btree8_bl",8192,22.8973,22.4533,23.5321,3
"gcc","lat","blocked","btree8_bl_a64",8192,30.722,30.3635,30.8365,3
"gcc","tput","blocked","btree8_bl_a64",8192,19.1315,19.0079,19.133,3
"clang","lat","shuffled","btree8_bl_a64",8192,35.1059,35.0937,35.2692,3
"gcc","lat","shuffled","btree8_bl_a64",8192,31.4972,31.4392,32.1945,3
"clang","tput","shuffled","btree8_bl_a64",8192,22.1329,22.0291,22.2107,3
"gcc","tput","shuffled","btree8_bl_a64",8192,19.9127,19.4336,20.4742,3
"gcc","lat","blocked","fusion16_w",8192,75.5463,74.7269,76.2421,3
"gcc","tput","blocked","fusion16_w",8192,67.514,67.3889,68.338,3
"clang","lat","shuffled","fusion16_w",8192,77.0782,76.5976,78.1143,3
"gcc","lat","shuffled","fusion16_w",8192,77.3117,77.0203,78.0655,3
"clang","tput","shuffled","fusion16_w",8192,68.8202,68.2541,69.7601,3
"gcc","tput","shuffled","fusion16_w",8192,68.7119,67.5888,69.8669,3
"gcc","lat","blocked","fusion8",8192,63.8351,62.912,64.09,3
"gcc","tput","blocked","fusion8",8192,58.02,57.8796,58.0887,3
"clang","lat","shuffled","fusion8",8192,69.3817,68.8583,69.6121,3
"gcc","lat","shuffled","fusion8",8192,66.0873,65.4068,66.3895,3
"clang","tput","shuffled","fusion8",8192,65.3992,65.1642,66.0812,3
"gcc","tput","shuffled","fusion8",8192,60.8658,59.6558,60.9787,3
"gcc","lat","blocked","fusion8_bf",8192,71.7194,70.9808,72.5815,3
"gcc","tput","blocked","fusion8_bf",8192,66.6718,66.2048,66.8839,3
"clang","lat","shuffled","fusion8_bf",8192,72.4838,71.9299,72.6196,3
"gcc","lat","shuffled","fusion8_bf",8192,74.7681,73.9426,74.852,3
"clang","tput","shuffled","fusion8_bf",8192,68.5989,68.4067,68.6142,3
"gcc","tput","shuffled","fusion8_bf",8192,69.3649,67.3035,69.931,3
"gcc","lat","blocked","fusion8_c",8192,70.1355,67.6804,70.7214,3
"gcc","tput","blocked","fusion8_c",8192,64.5874,64.4928,64.8804,3
"clang","lat","shuffled","fusion8_c",8192,68.3823,68.1473,68.7927,3
"gcc","lat","shuffled","fusion8_c",8192,70.813,70.1324,70.842,3
"clang","tput","shuffled","fusion8_c",8192,65.0131,64.8087,65.3198,3
"gcc","tput","shuffled","fusion8_c",8192,68.5394,67.0731,69.5786,3
"gcc","lat","blocked","sorted_array",8192,22.9889,22.5555,23.056,3
