"compiler","mode","order","comparison","n","ratio","lo","hi"
"gcc","tput","shuffled","compact 128-B node vs 184-B node",1024,0.939245815454791,0.937839357382841,0.94702165504171
"gcc","lat","blocked","equal footprint: compact fusion vs aligned B-tree",1024,1.69666623385055,1.67626952651534,1.70668881210935
"gcc","tput","blocked","equal footprint: compact fusion vs aligned B-tree",1024,2.14353734217847,2.10793371852562,2.51951627393946
"clang","lat","shuffled","equal footprint: compact fusion vs aligned B-tree",1024,1.52994727156911,1.5177269700333,1.53797548300171
"gcc","lat","shuffled","equal footprint: compact fusion vs aligned B-tree",1024,1.69015371455234,1.68832562107386,1.70200156184687
"clang","tput","shuffled","equal footprint: compact fusion vs aligned B-tree",1024,1.81243256544701,1.80267783734315,1.82256537311422
"gcc","tput","shuffled","equal footprint: compact fusion vs aligned B-tree",1024,2.19670360716694,2.18040561762462,2.20229757372963
"gcc","lat","blocked","Exp 4: 16-key fusion vs 16-key B-tree",1024,2.08789985570526,2.0804117725872,2.09284873839718
"gcc","tput","blocked","Exp 4: 16-key fusion vs 16-key B-tree",1024,2.07518787033194,2.06597866060088,2.51840084607619
"clang","lat","shuffled","Exp 4: 16-key fusion vs 16-key B-tree",1024,1.72745977544598,1.72352664576803,1.73175232498104
"gcc","lat","shuffled","Exp 4: 16-key fusion vs 16-key B-tree",1024,2.09573160086326,2.07372627004732,2.09959002835978
"clang","tput","shuffled","Exp 4: 16-key fusion vs 16-key B-tree",1024,2.73192380998925,2.67237056786979,2.79836904964608
"gcc","tput","shuffled","Exp 4: 16-key fusion vs 16-key B-tree",1024,2.12371654156635,2.10483592478148,2.15852988621005
"gcc","lat","blocked","Exp 4: 16-key fusion vs 8-key fusion",1024,1.05287418960819,1.0524878886414,1.05752697051325
"gcc","tput","blocked","Exp 4: 16-key fusion vs 8-key fusion",1024,0.950391990407381,0.92442906792179,1.16994887870162
"clang","lat","shuffled","Exp 4: 16-key fusion vs 8-key fusion",1024,1.01996320837948,1.01776726328981,1.02358463595702
"gcc","lat","shuffled","Exp 4: 16-key fusion vs 8-key fusion",1024,1.04233882536739,1.04070480815644,1.04248899203435
"clang","tput","shuffled","Exp 4: 16-key fusion vs 8-key fusion",1024,0.909415191734583,0.891011681446961,0.922559107581981
"gcc","tput","shuffled","Exp 4: 16-key fusion vs 8-key fusion",1024,0.927476902856701,0.913052528777895,0.961392975315738
"gcc","lat","blocked","Exp 4: 16-key fusion vs best B-tree",1024,2.1726343459083,2.15070649065498,2.18266797863368
"gcc","tput","blocked","Exp 4: 16-key fusion vs best B-tree",1024,2.08572303432117,2.0812959198231,2.56301425915548
"clang","lat","shuffled","Exp 4: 16-key fusion vs best B-tree",1024,2.05468426041111,2.02495258088872,2.08501371807909
"gcc","lat","shuffled","Exp 4: 16-key fusion vs best B-tree",1024,2.14136788554706,2.13256429580425,2.14199098698922
"clang","tput","shuffled","Exp 4: 16-key fusion vs best B-tree",1024,2.73192380998925,2.67237056786979,2.79836904964608
"gcc","tput","shuffled","Exp 4: 16-key fusion vs best B-tree",1024,2.15308475793063,2.13864535297013,2.23571805952558
"gcc","lat","blocked","original fusion vs binary search",1024,2.93236135403578,2.92988899616945,2.94738202565962
"gcc","tput","blocked","original fusion vs binary search",1024,7.44421394737752,7.35507035751535,7.50003467526613
"clang","lat","shuffled","original fusion vs binary search",1024,1.4242517634792,1.42294669009959,1.44786629165739
"gcc","lat","shuffled","original fusion vs binary search",1024,3.10013694048453,3.03536000909257,3.11472710756731
"clang","tput","shuffled","original fusion vs binary search",1024,1.30536975417629,1.3009471936687,1.31028284215058
"gcc","tput","shuffled","original fusion vs binary search",1024,7.69139995494637,7.68437186195233,7.69917843211709
"gcc","lat","blocked","original fusion vs branch-free B-tree",1024,1.39220618037485,1.39120233725373,1.41345124716553
"gcc","tput","blocked","original fusion vs branch-free B-tree",1024,1.8664028739522,1.85994419536804,1.8720307773532
"clang","lat","shuffled","original fusion vs branch-free B-tree",1024,1.37962244778385,1.37228392899515,1.38179746639889
"gcc","lat","shuffled","original fusion vs branch-free B-tree",1024,1.46975562762533,1.44275505640909,1.4873603036419
"clang","tput","shuffled","original fusion vs branch-free B-tree",1024,1.60273588804292,1.57107084065735,1.63000688960729
"gcc","tput","shuffled","original fusion vs branch-free B-tree",1024,1.87794324683879,1.87031434350244,1.90461856391995
"gcc","lat","blocked","branch-free rank vs original rank",2048,1.08830108159812,1.08006220496351,1.09231585152443
"gcc","tput","blocked","branch-free rank vs original rank",2048,1.06568495997114,0.975807793661273,1.07943532014805
"clang","lat","shuffled","branch-free rank vs original rank",2048,1.04478716198614,1.03928876259748,1.05306098912044
"gcc","lat","shuffled","branch-free rank vs original rank",2048,1.08976359905702,1.07576249858639,1.09785150147076
"clang","tput","shuffled","branch-free rank vs original rank",2048,1.02083984906331,1.01511921931484,1.02319707495161
"gcc","tput","shuffled","branch-free rank vs original rank",2048,1.04421445254083,1.03586082374161,1.06576035045591
"gcc","lat","blocked","compact 128-B node vs 184-B node",2048,0.979039434284651,0.978311281784316,0.986947661143562
"gcc","tput","blocked","compact 128-B node vs 184-B node",2048,0.96036899418733,0.937113398315125,1.14575337331334
"clang","lat","shuffled","compact 128-B node vs 184-B node",2048,0.958435353329253,0.955864409935204,0.958550091183494
"gcc","lat","shuffled","compact 128-B node vs 184-B node",2048,0.956206437962319,0.949157837744114,0.963501371244101
"clang","tput","shuffled","compact 128-B node vs 184-B node",2048,0.951149341938291,0.950299132246995,0.953037297817928
"gcc","tput","shuffled","compact 128-B node vs 184-B node",2048,0.947667965779122,0.947633821877969,0.965615496212918
"gcc","lat","blocked","equal footprint: compact fusion vs aligned B-tree",2048,1.75287895951586,1.7520857154957,1.75737868175042
"gcc","tput","blocked","equal footprint: compact fusion vs aligned B-tree",2048,2.26567229751993,2.25490958248574,2.64677818761148
"clang","lat","shuffled","equal footprint: compact fusion vs aligned B-tree",2048,1.55006091071836,1.54840212403869,1.55630034754964
"gcc","lat","shuffled","equal footprint: compact fusion vs aligned B-tree",2048,1.72972041593,1.72025876949402,1.7340635039223
"clang","tput","shuffled","equal footprint: compact fusion vs aligned B-tree",2048,2.28796726445373,2.239347588575,2.29232967205809
"gcc","tput","shuffled","equal footprint: compact fusion vs aligned B-tree",2048,2.24011537381627,2.23157010771301,2.24602122590427
"gcc","lat","blocked","Exp 4: 16-key fusion vs 16-key B-tree",2048,2.23532494559872,2.22615608851199,2.23803065186502
"gcc","tput","blocked","Exp 4: 16-key fusion vs 16-key B-tree",2048,2.26251608751609,2.24564395411464,3.78509877536426
"clang","lat","shuffled","Exp 4: 16-key fusion vs 16-key B-tree",2048,1.85564819044719,1.85533515953348,1.87634299549571
"gcc","lat","shuffled","Exp 4: 16-key fusion vs 16-key B-tree",2048,2.24054460072578,2.23080575507036,2.24085546781979
"clang","tput","shuffled","Exp 4: 16-key fusion vs 16-key B-tree",2048,3.59369442939242,3.55988099105218,3.60249826822877
"gcc","tput","shuffled","Exp 4: 16-key fusion vs 16-key B-tree",2048,2.32392437413551,2.31640247350468,2.34307992202729
"gcc","lat","blocked","Exp 4: 16-key fusion vs 8-key fusion",2048,0.995767285276852,0.993888216562663,1.0037708649986
"gcc","tput","blocked","Exp 4: 16-key fusion vs 8-key fusion",2048,0.903474725921566,0.894468188723406,1.58710269865067
"clang","lat","shuffled","Exp 4: 16-key fusion vs 8-key fusion",2048,0.970627133353578,0.968750519467135,0.974287560361831
