"compiler","mode","order","comparison","n","ratio","lo","hi"
"clang","tput","shuffled","compact 128-B node vs 184-B node",1024,0.965489461246509,0.9562808151311,0.97038315248579
"gcc","tput","shuffled","compact 128-B node vs 184-B node",1024,0.966535417707293,0.949681605328167,0.981366997011169
"gcc","lat","blocked","equal footprint: compact fusion vs aligned B-tree",1024,2.12081306166246,2.10698456490332,2.1265437644494
"gcc","tput","blocked","equal footprint: compact fusion vs aligned B-tree",1024,2.67501425261385,2.55359840296348,2.69326706121196
"clang","lat","shuffled","equal footprint: compact fusion vs aligned B-tree",1024,1.87467620756615,1.87211291082364,1.89991375385424
"gcc","lat","shuffled","equal footprint: compact fusion vs aligned B-tree",1024,2.11664679498098,2.09327405546025,2.1316886601654
"clang","tput","shuffled","equal footprint: compact fusion vs aligned B-tree",1024,2.27471981371398,2.2542295980654,2.29337220455587
"gcc","tput","shuffled","equal footprint: compact fusion vs aligned B-tree",1024,2.62059716652736,2.58601045704029,2.66742917002934
"gcc","lat","blocked","Exp 4: 16-key fusion vs 16-key B-tree",1024,2.58525524990387,2.56297308515649,2.5925767604339
"gcc","tput","blocked","Exp 4: 16-key fusion vs 16-key B-tree",1024,4.20663148443369,4.07168921477504,4.23537479183179
"clang","lat","shuffled","Exp 4: 16-key fusion vs 16-key B-tree",1024,2.39742152466368,2.38013755062748,2.39971766749919
"gcc","lat","shuffled","Exp 4: 16-key fusion vs 16-key B-tree",1024,2.55790418219998,2.53736307535837,2.57002263780422
"clang","tput","shuffled","Exp 4: 16-key fusion vs 16-key B-tree",1024,3.75876803458619,3.6532004032004,3.85962798275687
"gcc","tput","shuffled","Exp 4: 16-key fusion vs 16-key B-tree",1024,4.07574211219567,3.94416949294477,4.16866697371154
