"compiler","mode","order","structure","n","median_ns","min_ns","max_ns","sessions"
"clang","tput","shuffled","btree8_bl",4096,19.1452,18.8034,19.1864,3
"gcc","tput","shuffled","btree8_bl",4096,23.2529,22.8226,23.288,3
"gcc","lat","blocked","btree8_bl_a64",4096,32.5974,32.5653,32.6355,3
"gcc","tput","blocked","btree8_bl_a64",4096,21.9223,21.5637,22.0413,3
"clang","lat","shuffled","btree8_bl_a64",4096,36.9858,36.3113,37.0102,3
"gcc","lat","shuffled","btree8_bl_a64",4096,32.8339,32.8064,32.9178,3
"clang","tput","shuffled","btree8_bl_a64",4096,18.3426,18.0664,18.3487,3
"gcc","tput","shuffled","btree8_bl_a64",4096,22.2122,21.9284,22.2794,3
"gcc","lat","blocked","fusion16_w",4096,58.9508,58.9035,59.0866,3
"gcc","tput","blocked","fusion16_w",4096,47.5708,46.9849,49.7803,3
"clang","lat","shuffled","fusion16_w",4096,58.6899,57.6019,58.7982,3
"gcc","lat","shuffled","fusion16_w",4096,59.2911,59.1583,59.3948,3
"clang","tput","shuffled","fusion16_w",4096,46.5378,45.6314,46.6965,3
"gcc","tput","shuffled","fusion16_w",4096,49.0891,48.8586,49.5255,3
"gcc","lat","blocked","fusion8",4096,56.1646,55.8456,56.424,3
"gcc","tput","blocked","fusion8",4096,51.6205,51.5121,51.9394,3
"clang","lat","shuffled","fusion8",4096,60.2585,58.812,60.3119,3
"gcc","lat","shuffled","fusion8",4096,57.4066,57.1365,57.6019,3
"clang","tput","shuffled","fusion8",4096,56.0883,55.3757,56.3675,3
"gcc","tput","shuffled","fusion8",4096,53.2089,52.6611,53.8467,3
"gcc","lat","blocked","fusion8_bf",4096,61.7111,61.2198,61.879,3
"gcc","tput","blocked","fusion8_bf",4096,56.81,55.307,57.4341,3
"clang","lat","shuffled","fusion8_bf",4096,62.7869,62.3917,62.8296,3
"gcc","lat","shuffled","fusion8_bf",4096,62.6083,62.5931,62.8082,3
"clang","tput","shuffled","fusion8_bf",4096,56.9839,56.2042,57.0221,3
"gcc","tput","shuffled","fusion8_bf",4096,57.0465,56.2698,57.0557,3
"gcc","lat","blocked","fusion8_c",4096,60.0159,59.9014,60.2234,3
"gcc","tput","blocked","fusion8_c",4096,53.7338,53.1769,71.9528,3
"clang","lat","shuffled","fusion8_c",4096,59.7794,59.1263,59.967,3
"gcc","lat","shuffled","fusion8_c",4096,60.0693,59.8938,60.3439,3
"clang","tput","shuffled","fusion8_c",4096,53.9764,53.4348,54.0131,3
"gcc","tput","shuffled","fusion8_c",4096,53.7949,53.595,53.9368,3
"gcc","lat","blocked","sorted_array",4096,18.7164,18.6859,18.718,3
"gcc","tput","blocked","sorted_array",4096,7.2403,7.2403,7.2433,3
"clang","lat","shuffled","sorted_array",4096,43.9774,43.8309,44.8334,3
"gcc","lat","shuffled","sorted_array",4096,18.721,18.6935,18.7225,3
"clang","tput","shuffled","sorted_array",4096,43.8431,42.926,43.8568,3
"gcc","tput","shuffled","sorted_array",4096,7.2433,7.1136,7.2693,3
"gcc","lat","blocked","btree16_bl_a64",8192,38.1851,37.8845,38.5574,3
"gcc","tput","blocked","btree16_bl_a64",8192,36.2473,36.1374,36.7676,3
"clang","lat","shuffled","btree16_bl_a64",8192,44.5358,44.1864,45.0821,3
"gcc","lat","shuffled","btree16_bl_a64",8192,39.5767,39.1953,40.39,3
"clang","tput","shuffled","btree16_bl_a64",8192,33.1512,32.6141,34.6252,3
"gcc","tput","shuffled","btree16_bl_a64",8192,37.0499,36.4838,38.7466,3
"gcc","lat","blocked","btree8",8192,36.4853,35.8749,36.5692,3
"gcc","tput","blocked","btree8",8192,36.5906,36.5021,58.3221,3
"clang","lat","shuffled","btree8",8192,39.6942,38.8397,40.0284,3
